,name,longitude,latitude,rating,calls
97,Linda Vista Skate Park,-117.17121999999999,32.79258054,5.0,26
98,Edward Tyler Cramer Park,-117.1844337,32.77100125,3.0,19
99,Tecolote Canyon Natural Park & Nature Center,-117.1975108,32.77573983,4.0,29
100,Bay Park,-117.19277190000001,32.76789856,4.0,51
101,South Mission Beach,-117.2335587,32.79207611,4.0,57
102,Coastal Rail Trail,-117.2688892,32.98030915,4.5,0
103,Coronado Ferry Landing,-117.169648,32.698485,4.5,0
104,Little Italy,-117.1683,32.72298,4.5,188
105,Swamis Seaside Park,-117.29166409999998,33.0351982,4.0,0
106,Santee Lakes Recreation Preserve,-117.003941,32.846176,3.5,0
107,Fiesta Island,-117.21917350000001,32.77631797,4.5,3
108,Tecolote Youth Baseball,-117.203099,32.77218184,5.0,45
109,Western Hills Park,-117.19600520000002,32.7858149,3.5,20
110,South Clairemont Recreation Center & Community Park,-117.2000601,32.8049066,3.5,25
111,North City Youth Baseball League,-117.19176370000001,32.8230376,4.5,9
112,Ray's Tennis Shop,-117.15035,32.74893,4.0,116
113,Mission Bay Golf Course,-117.2160645,32.79885101,3.0,15
114,Cadman Park Leash-Free Area,-117.214257,32.820000300000004,3.5,10
115,Cadman Dog Park - Leash Free,-117.214156,32.82002918,4.0,10
116,Nate's Point Dog Park - Balboa Park,-117.1571001,32.731097,4.0,89
117,Mission Bay Boardwalk,-117.2098312,32.78967285,4.5,21
118,Rose Creek Trail,-117.2191697,32.80649811,4.0,35
119,"Gymboree Play & Music, San Diego",-117.1843455,32.822062100000004,4.5,51
120,Emerald City Realty,-117.1778199,32.8184483,4.5,67
121,Kearny Mesa Park,-117.16761509999998,32.79993802,3.0,11
122,Kearny Mesa Park & Recreation Center,-117.16761509999998,32.79993802,4.0,11
123,Kearny Mesa Dog Park,-117.1676213,32.8002162,3.5,11
124,Dusty Rhodes Park,-117.23867879999999,32.752204,4.0,66
125,Dog Park at Doyle Park,-117.21645339999999,32.86411712,3.0,30
126,Veteran's Park Dog Park,-117.115192,32.57870419,4.0,6
127,Wells Park Dog Park,-116.9423065,32.80003357,3.5,0
128,Admiral Robinson Recreation Centre,-117.1133845,32.67788621,4.0,8
129,Parkside Park,-117.0513645,32.66814779,2.5,10
130,Terrace Villas Apartments,-117.14267,32.745489899999995,4.0,74
131,Parkside Terrace,-117.15236999999999,32.71071,3.0,631
132,Lakeside Library,-116.92055500000001,32.8588,4.5,0
133,Fotility Photography & Videography,-117.13987,32.920590000000004,4.0,17
134,City of Lakeside,-116.93113729999999,32.85604547,1.0,0
135,Berry Street Park,-117.04494009999998,32.730924800000004,4.0,2
136,Pure Project - Balboa Park,-117.1601851,32.7351148,4.5,88
137,Level 9 Rooftop Bar,-117.15618,32.71092,4.0,741
138,Caffè Calabria,-117.129792,32.749208,4.5,165
139,Louisiana Purchase,-117.13986499999999,32.74821,4.0,96
140,619 Spirits North Park,-117.1297898,32.750151,4.5,169
141,Bivouac Ciderworks,-117.13051000000002,32.75005,4.5,170
142,Half Door Brewing,-117.156272,32.710263,4.5,725
143,Polite Provisions,-117.13035420000001,32.76275226,4.5,48
144,Fernside,-117.12943,32.72635,4.5,35
145,Urbn - North Park,-117.12719299999999,32.748306,4.0,140
146,Flap Your Jacks,-117.129597,32.748689,4.5,153
147,Lamar Park,-117.00577390000001,32.73983583,1.5,0
148,One Door North,-117.13036000000001,32.7415499,4.0,65
149,StreetCar Merchants,-117.130401,32.750492,3.5,175
150,Myst Lounge,-117.16045,32.71331,4.5,598
151,Garibaldi,-117.17180400000001,32.716901,4.0,118
152,Dog Park At Rohr Park,-117.038036,32.664019,5.0,0
153,RustiCucina,-117.1461288,32.74751018,4.5,97
154,Kindred,-117.13006409999998,32.7214638,4.5,46
155,Sunnyslope Park,-117.0781598,32.5801774,1.0,28
156,The Villas At Camino Bernardo,-117.08608000000001,32.997994,3.0,11
157,El Norte Villas by ConAm Management,-117.10613000000001,33.14564,3.5,0
158,MG Properties Group,-117.21718999999999,32.895919899999996,2.0,2
159,"Associa | NN Jaeschke, Inc. | San Diego",-117.1821143,32.9042976,2.0,7
160,Birch Aquarium,-117.25063999999999,32.865815000000005,4.0,6
161,North Park Community Park,-117.1340879,32.75262899,3.0,173
162,North Park,-117.13113229999999,32.7404498,4.5,47
163,North Park Optometry,-117.128401,32.74856605,4.5,154
164,North Park Massage,-117.12981699999999,32.749664,4.5,166
165,Nobel Athletic Fields & Recreation Center,-117.199262,32.867051000000004,4.0,11
166,Inez Grant Parker Memorial Rose Garden,-117.14548319999999,32.73147656,5.0,22
167,Chicano Park,-117.14178999999999,32.698370000000004,4.5,100
168,Colina Del Sol Park & Rec Center,-117.08035590000001,32.7529087,3.5,128
169,Colina Park Golf Course,-117.08342739999999,32.7510376,4.5,149
170,Colina del Sol Pool,-117.07880800000001,32.752564,4.0,111
171,Presidio Hills Golf Course,-117.196417,32.756849,3.0,70
172,City of San Diego,-117.16262009999998,32.716951,4.0,527
173,Chollas Lake Park,-117.0605608,32.73733996,4.0,9
174,Charles Lewis III Memorial Park,-117.0943659,32.73361602,4.0,33
175,Lake Miramar,-117.09944399999999,32.91362555,4.5,2
176,San Diego School of Survival,-117.1586055,32.881496899999995,5.0,6
177,Memorial Skate Park,-117.1296613,32.698942200000005,3.5,68
178,Memorial Park,-117.0808105,32.63852692,2.5,3
179,War Memorial Building,-117.1479077,32.73880124,4.0,39
180,Memorial Park,-117.87838700000002,33.71905686,3.5,0
