id, long, lat
E19040003950, -117.0885702, 32.944125
E19010026557, -117.1030206, 32.9636317
E19080045838, -117.2327763, 32.9583295
E19110050621, -117.2385678, 32.7523751
E19120032278, -117.1592414, 32.7069634
E19030012343, -117.0552337, 32.7050801
E19010022003, -117.219646, 32.7548427
E19040005525, -117.1592414, 32.7069634
E19010044305, -117.0933618, 32.7495549
E19080025559, -117.0976227, 32.7531522
E19100022503, -117.1316608, 32.7812519
E19040030068, -117.1181052, 32.7460394
E19120048321, -117.1616255, 32.7482578
E19020043123, -117.0295693, 32.7981312
E19060003808, -117.0865593, 32.7442622
E19070025204, -117.1535692, 32.7489683
E19100038302, -117.17778, 32.7742963
E19010009428, -117.1301928, 32.7554061
E19090001828, -117.1610627, 32.7125789
E19050006761, -117.1493763, 32.8043473
E19030018629, -117.2150698, 32.7521033
E19060034423, -117.2531641, 32.7352763
E19070013282, -117.0678827, 32.8095131
E19060032247, -117.0687279, 32.7605079
E19020018512, -117.1474488, 32.7401956
E19110001689, -117.2115271, 32.7980346
E19120014139, -117.0691298, 33.0281285
E19010013829, -117.1103536, 32.7857852
E19110002220, -117.1691878, 32.7209507
E19120013088, -117.15328, 32.7669328
E19070006020, -117.2511241, 32.7720921
E19120037491, -117.1368394, 32.8324048
E19110023796, -117.1728837, 32.7297719
E19010013404, -117.1602093, 32.7219476
E19080040803, -117.1348775, 32.9711739
E19040027608, -117.0591546, 32.6916111
E19010020940, -117.1752749, 32.7705039
E19070016874, -117.1608955, 32.7485501
E19080027794, -117.1065434, 32.715125
E19100054154, -117.1950995, 32.8033475
E19040017894, -117.2052096, 32.7722924
E19100032425, -117.0690367, 32.5609361
E19090010660, -117.0315425, 32.6955528
E19050039579, -117.0493513, 32.7145208
E19100026849, -117.0610096, 32.7652663
E19100005378, -117.112494, 32.700318
E19100056450, -117.0762807, 32.76902640000001
E19100011998, -117.152525, 32.710123
E19040048966, -117.2159862, 32.828923
E19050027821, -117.2070991, 32.7817466
E19060009872, -117.0692725, 32.7123317
E19120016476, -117.2469349, 32.7997708
E19010045026, -117.1002283, 32.6968509
E19010026181, -117.2050573, 32.7910592
E19060045514, -117.1592414, 32.7069634
E19020011929, -117.030612, 32.5452999
E19090000554, -117.1178909, 32.7590305
E19060001352, -117.1793148, 32.7592417
E19030034121, -117.1302017, 32.755628
E19080046598, -117.0533237, 32.7632748
E19070006948, -117.2009252, 32.7557172
E19120022545, -117.134804, 32.9250138
E19050013281, -117.0843442, 32.547537
E19020007206, -117.0409791, 32.5568078
E19010011709, -117.1954724, 32.7641365
E19090047462, -117.0936481, 32.7074147
E19030025147, -117.1267516, 32.9633565
E19010008627, -117.1020713, 32.745903
E19040036071, -117.2575152, 32.8030133
E19080037131, -117.1316323, 32.6949511
E19070017815, -117.1301928, 32.7554061
E19050013166, -117.1398029, 32.8360067
E19070006363, -117.2136428, 32.8005889
E19020042551, -117.1272694, 32.6938742
E19100001846, -117.1549812, 32.8218383
E19110010679, -117.1962694, 32.7576281
E19020038692, -117.164424, 32.716289
E19090000728, -117.144553, 32.7341479
E19070012923, -117.2165652, 32.8666136
E19070053746, -117.1546731, 32.7136317
E19100046057, -117.1383516, 32.6973578
E19110000258, -117.145037, 32.9296386
E19080027228, -117.1383702, 32.8349877
E19120016935, -117.2566209, 32.8065629
E19020004666, -117.1608987, 32.7499828
E19120010874, -117.1944504, 32.8825306
E19010004099, -117.14427, 32.7014655
E19070021597, -117.235336, 32.852085
E19070040665, -117.1597178, 32.7914365
E19050019544, -117.1186522, 32.7098429
E19080033638, -117.0868954, 32.7516057
E19110007484, -117.103664, 32.7297004
E19100032456, -117.0376386, 32.5505748
E19100021889, -117.2560471, 32.7944967
E19040035933, -117.1877995, 32.7560967
E19050002633, -117.0445698, 32.5522555
E19030017819, -117.0445698, 32.5522555
E19090004899, -117.1547363, 32.7178395
E19040027485, -117.1947399, 32.8345441
E19120028765, -117.1638067, 32.8304017
E19050024792, -117.0251788, 32.715232
E19020018648, -117.1604602, 32.7500004
E19110040924, -117.0979677, 32.696843
E19080033430, -117.0854609, 32.7116235
E19100055633, -117.1060934, 32.7019056
E19010034612, -117.1199567, 32.8280786
E19120048262, -117.1611527, 32.7251318
E19090005317, -117.051893, 32.5555186
E19110025952, -117.2053602, 32.774217
E19030023327, -117.0762469, 32.7707659
E19110034286, -117.0661859, 32.7618947
E19010035728, -117.1236256, 32.8361703
E19070049250, -117.1717605, 32.7835407
E19090010338, -117.2538094, 32.8039018
E19110043255, -117.1700126, 32.7822908
E19080010858, -117.1012011, 32.7421747
E19030046157, -117.0862924, 32.7830783
E19120033412, -117.158503, 32.7734555
E19120042952, -117.0850014, 32.72141
E19090012653, -117.1676592, 32.92256649999999
E19040026153, -117.1494484, 32.71155770000001
E19050047259, -117.1638487, 32.7219676
E19060020082, -117.1300905, 32.7484628
E19040028412, -117.0905394, 32.9296912
E19080009749, -117.2109868, 32.8286831
E19080005693, -117.0548706, 32.7073229
E19090047841, -117.2559432, 32.7943448
E19050046820, -117.1425109, 32.7189523
E19020037228, -117.1776534, 32.8180813
E19060002041, -117.2219332, 32.870657
E19110039221, -117.1565021, 32.7156829
E19070029812, -117.0518802, 33.0299622
E19060013758, -117.2066766, 32.75404
E19070045589, -117.0922443, 32.7531147
E19040008386, -117.158318, 32.7136344
E19100008330, -117.1468059, 32.9127199
E19040042797, -117.0833869, 32.7573598
E19020013029, -117.0965682, 32.766089
E19040007992, -117.2555185, 32.80942590000001
E19100056585, -117.1481415, 32.7030182
E19120042870, -117.2427681, 32.7996344
E19100042972, -117.158357, 32.7188655
E19050052504, -117.1600857, 32.8289912
E19060034779, -117.0034054, 32.5801365
E19060024823, -117.1582473, 32.7067798
E19060051515, -117.0890542, 32.7530866
E19020017106, -117.0997444, 32.7889688
E19080012085, -117.1515229, 32.7065586
E19050034090, -117.0851017, 32.7104614
E19050043242, -117.1424095, 32.7051893
E19050001356, -117.0584912, 32.7150707
E19070033975, -117.1173768, 32.9173065
E19110026634, -117.1338969, 32.7591444
E19040035571, -117.2044555, 32.8545544
E19020003664, -117.0687279, 32.7605079
E19080036097, -117.1085937, 32.7911337
E19100048504, -117.1302066, 32.7798153
E19040003940, -117.1794298, 32.8143551
E19110004629, -117.166135, 32.7542698
E19100041634, -117.1243022, 33.0151144
E19120049440, -117.0836378, 32.7548922
E19040016919, -117.2038622, 32.951025
E19050041056, -117.1601364, 32.7104405
E19050043479, -117.2088185, 32.827654
E19100054158, -117.0851829, 32.7229293
E19100025428, -117.118283, 32.7499066
E19120029663, -117.1602848, 32.7313918
E19120042121, -117.1061166, 32.7571265
E19110001461, -117.2545925, 32.7936796
E19070031095, -117.0685155, 32.7946781
E19090006808, -117.1573929, 32.7859178
E19090042216, -117.0633183, 33.0084561
E19120042486, -117.151728, 32.7159732
E19080039042, -117.2050201, 32.827763
E19120050194, -117.1402085, 32.809787
E19070003804, -117.120542, 32.7635721
E19050033865, -117.1629178, 32.7091132
E19050037731, -117.151728, 32.7159732
E19060027211, -117.205757, 32.849915
E19080040797, -117.0396176, 32.5454208
E19070029236, -117.0734655, 32.6927555
E19070040826, -117.1131211, 32.7497361
E19050038440, -117.1661621, 32.7499677
E19100010595, -117.1450526, 32.7006603
E19120041145, -117.238712, 32.774986
E19020002074, -117.1555917, 32.7115606
E19110030405, -117.1601714, 32.7178011
E19040005239, -117.201184, 32.7534866
E19040001371, -117.237084, 32.8799731
E19090033172, -117.2447842, 32.8445823
E19060047388, -117.124966, 32.8938377
E19020014371, -117.0753935, 32.5916159
E19010004276, -117.0850749, 32.7059215
E19060050411, -117.0704604, 32.7599579
E19120003635, -117.1584236, 32.8219069
E19070056811, -117.2503606, 32.7926
E19080006196, -117.1629174, 32.7169272
E19080045021, -116.9799212, 32.5627982
E19040005519, -117.2338466, 32.7279829
E19060015710, -117.1242112, 32.9060627
E19030011794, -117.2201397, 32.7552956
E19040009341, -117.2353147, 32.7473878
E19020013321, -117.1809123, 32.8172324
E19070009931, -117.1538537, 32.7188904
E19040047473, -117.1462661, 32.7609625
E19090035184, -117.0874185, 32.6967945
E19080041494, -117.0762807, 32.76902640000001
E19070033101, -117.2545525, 32.7881731
E19030030303, -117.1532201, 32.7821791
E19010021709, -117.2050865, 32.8914696
E19020000770, -117.1823639, 32.8510881
E19020029168, -117.1337654, 32.7158487
E19080049093, -117.2766023, 32.8318231
E19050004433, -117.151728, 32.7159732
E19090033323, -117.151728, 32.7159732
E19040042956, -117.2060403, 32.754826
E19030036464, -117.1095898, 32.6827253
E19070020012, -117.117882, 32.688625
E19110035822, -117.2125141, 32.7443394
E19080000583, -117.2136281, 32.751217
E19120006112, -117.1457684, 32.7052902
E19030015883, -117.2225118, 32.7174716
E19060000140, -117.0151358, 32.5644345
E19100044808, -117.1021, 32.7820515
E19090011159, -116.9741021, 32.548467
E19100018986, -117.0794553, 32.75488130000001
E19090015680, -117.1629102, 32.7500874
E19120028520, -117.0367165, 32.6912815
E19070013858, -117.2353187, 32.7911658
E19060040447, -117.0534624, 32.8169399
E19080055417, -117.2331372, 32.7935773
E19050035769, -117.2121756, 32.851714
E19050012402, -117.1593516, 32.764537
E19100011137, -117.1365146, 32.8044801
E19050036570, -117.2180924, 32.8047248
E19110036009, -117.2567132, 32.7978081
E19090042344, -117.0718396, 32.7707596
E19070053853, -117.244407, 32.7453891
E19060022317, -117.1186775, 32.9199695
E19090022927, -117.156186, 32.8819964
E19110017942, -117.0836298, 32.7530409
E19050041231, -117.09268, 32.5862381
E19110041116, -117.2341744, 32.9538561
E19070048257, -117.1596831, 32.7296496
E19070018653, -117.2443108, 32.768505
E19120018367, -122.3083512, 40.7849958
E19080020806, -117.2101647, 32.7469144
E19070032345, -117.0429026, 32.7033694
E19020043541, -117.2122003, 32.8517173
E19040019622, -117.0410241, 32.5609628
E19030045867, -117.0547278, 32.7232327
E19080042814, -117.0826159, 32.75505570000001
E19020030011, -117.1021377, 32.7497339
E19010015700, -117.066729, 32.5659757
E19020015038, -117.1024459, 32.6889796
E19090020324, -117.162521, 32.8791448
E19010039210, -116.9873117, 32.7806824
E19030005739, -117.0561006, 32.7693693
E19050039331, -117.1591968, 32.7104502
E19060048922, -117.2560471, 32.7944967
E19110045276, -117.1439676, 32.7062886
E19080030978, -117.1610627, 32.7125789
E19120013811, -117.0459933, 32.5508561
E19010011888, -117.0451742, 32.5507751
E19070020794, -117.0994605, 32.703552
E19120008602, -117.1495912, 32.7317597
E19120026981, -117.2070784, 32.750753
E19080048104, -117.1295872, 32.7158584
E19110033819, -117.0933618, 32.7495549
E19090041281, -117.1592365, 32.7168138
E19010040337, -117.0587573, 32.7776418
E19080009203, -117.0859847, 32.5842171
E19100002287, -117.0656178, 32.9987555
E19080031862, -117.0401937, 32.6758738
E19030011600, -117.0978879, 32.95707710000001
E19020027146, -117.0794027, 32.7822715
E19010047447, -117.1627768, 32.7499705
E19090010406, -117.1464688, 32.7591143
E19050032673, -117.2137942, 32.9557458
E19090035156, -117.1457684, 32.7052902
E19080019402, -117.151728, 32.7159732
E19070034839, -117.0998189, 32.7496185
E19060025101, -117.1546761, 32.7128957
E19120008633, -117.1294452, 32.7189959
E19010029057, -117.095475, 32.95469370000001
E19080001211, -117.2061045, 32.8244981
E19080005351, -117.1253134, 32.6959781
E19070035506, -117.1629201, 32.7091137
E19020015383, -117.277592, 32.82010700000001
E19120041772, -117.1639688, 32.7356296
E19040023778, -117.2456487, 32.802712
E19060012303, -117.2298762, 32.7202878
E19100047572, -117.1151739, 32.7633331
E19030041143, -117.0551543, 32.5654295
E19090030951, -117.1528131, 32.7104701
E19090037320, -117.142059, 32.7742542
E19010035490, -117.1173768, 32.9173065
E19100056487, -117.1567977, 32.8106581
E19010032661, -117.056664, 32.5566065
E19050047828, -117.1473903, 32.8272902
E19010037049, -117.1546985, 32.7147076
E19080000500, -117.1833212, 32.742027
E19090031477, -117.1228787, 32.7456904
E19060008000, -117.1338358, 32.7265558
E19040029459, -117.117928, 32.7551856
E19080034836, -117.0429026, 32.7033694
E19030034656, -117.1253134, 32.6959781
E19070022992, -117.1627198, 32.7433132
E19060025331, -117.1289417, 32.7554047
E19020001127, -117.151306, 32.7725902
E19070024453, -117.030612, 32.5452999
E19030015123, -117.2081916, 32.7478485
E19090002898, -117.2552963, 32.79686390000001
E19090000329, -117.116291, 32.807694
E19060018488, -117.1798955, 32.7417714
E19080012602, -117.1859792, 32.7600764
E19090023418, -117.2248243, 32.7279521
E19030023386, -117.1532484, 32.9072238
E19040010806, -117.2148121, 32.757923
E19030039431, -117.056895, 32.698698
E19110010891, -117.104474, 32.7496428
E19090008100, -117.1565795, 32.71992090000001
E19050016022, -117.1629174, 32.7169272
E19020043048, -117.1302098, 32.761046
E19110035974, -117.0100561, 32.8030819
E19080054971, -117.252083, 32.74657
E19090040962, -117.2044046, 32.7517781
E19020009217, -117.2071184, 32.7501235
E19050005428, -117.1592326, 32.8327869
E19070048897, -117.056664, 32.5566065
